Hours,C1,C2,C3,C4,C5,C6,C7,C8
0,10459423,5176479,8422897,5013091,6307882,6708918,6255704,5881268
0.166666667,9572923,4703955,7597720,4538236,5772736,6164155,5731049,5262870
0.333333333,9200467,4558152,7078963,4361990,5546132,5930504,5444544,5014183
0.5,8969066,4424988,6807043,4236386,5347497,5729199,5219476,4926203
0.666666667,8669877,4288576,6444715,4158326,5175248,5677998,5095514,4795074
0.833333333,8495187,4221736,6192772,4130229,4997995,5578857,4982978,4696882
1,8348473,4149245,6082204,4048373,4969442,5379656,4865645,4643640
1.166666667,7984854,4108274,5930860,4005241,4687224,5232463,4711238,4595038
1.333333333,7984854,4108274,5930860,4005241,4687224,5249168,4711238,4595038
1.5,7826737,4080387,5801049,3980087,4644832,5198309,4635731,4538466
1.666666667,7805200,4100991,5776702,3961408,4597346,5230891,4612510,4537858
1.833333333,7786293,4044484,5830201,3963474,4545374,5228428,4531919,4523088
2,7786918,4087941,5792249,3985055,4527801,5232704,4576631,4476676
2.166666667,7786918,4087941,5792249,3985055,4527801,5232704,4576631,4476676
2.333333333,7836685,4065573,5801113,3974918,4544451,5228621,4587123,4424300
2.5,7955771,4118132,5800309,4023823,4555281,5263736,4587605,4439862
2.666666667,8024578,4134652,5844437,4027678,4548737,5260320,4568060,4508483
2.833333333,8046508,4174204,5853478,4037120,4625837,5257670,4542521,4506264
3,8091812,4211067,5869656,4035133,4558248,5292601,4599128,4486839
3.166666667,8099509,4220956,5917771,4038194,4563446,5267343,4649818,4544758
3.333333333,8124098,4226345,5995681,4096905,4620092,5215399,4646914,4577336
3.5,8149499,4240702,5991718,4102590,4633377,5166922,4668582,4596977
3.666666667,8186600,4287433,5983860,4078794,4682273,5145992,4692709,4628646
3.833333333,8229752,4294292,6041289,4083092,4664769,5125772,4685057,4636474
4,8300832,4339910,6046099,4134903,4703888,5112431,4746849,4649027
4.166666667,8304631,4377766,6050916,4118400,4740019,5089805,4786287,4708795
4.333333333,8366361.5,4376168,6067848,4107224,4724358,5074034,4813849,4804492
4.5,8452125,4404062,6084661,4109184,4731645,5029567,4837934,4804543
4.666666667,8413188,4460169,6064609,4060000,4801265,5057314,4883746,4854222
4.833333333,8413188,4460169,6064609,4060000,4801265,5057314,4883746,4854222
5,8453019,4484676,6085464,4017140,4807874,5066519,4930968,4890535
5.166666667,8496498,4427693,6117996,4047419,4867501,5026538,5006911,4857341
5.333333333,8448657,4464215,6126654,4074437,4856976,5012905,5016372,4884852
5.5,8388966,4428963,6134861,4054023,4886580,5004012,5021581,4910942
5.666666667,8204432,4343067,6006343,4051364,4907594,5022622,5051639,4824114
5.833333333,7874441,4319228,5875836,4036789,4921198,5074717,5056732,4737939
6,7874441,4319228,5875836,4036789,4921198,5074717,5056732,4737939
6.166666667,7790633,4310057,5774333,3998192,4910887,5046371,5041348,4681996
6.333333333,7694621,4223232,5725792,3985054,4866311,5041525,5057692,4649162
6.5,7600079,4152881,5712792,3994539,4879053,5059366,5038886,4617729
6.666666667,7634094,4195275,5612573,3971102,4898491,5048371,5019279,4589317
6.833333333,7547691,4141393,5637907,3930134,4840353,5043932,5038466,4535686
7,7453583,4120925,5667526,3913295,4800222,5008259,5045393,4558121
7.166666667,7401002,4078079,5556394,3923015,4813013,4982800,4920037,4507728
7.333333333,7401002,4078079,5556394,3923015,4813013,4982800,4920037,4507728
7.5,7285495,4094508,5485534,3921280,4832136,4993355,4911308,4503879
7.666666667,7196048,4079901,5525059,3937547,4846387,5000499,4970014,4503838
7.833333333,7196048,4079901,5525059,3937547,4846387,5000499,4970014,4503838
8,7157477,4071901,5513284,3955102,4861176,5056646,4994692,4514072
8.166666667,7120033,4048612,5518995,3947172,4917387,5103649,5034695,4498457
8.333333333,7121770,4068833,5539406,3938160,4968486,5169689,5038510,4577683
8.5,7173983,4106513,5564812,3987631,4948482,5182719,5059028,4561317
8.666666667,7198949,4131283,5619720,4004820,4968910,5191682,5056251,4591940
8.833333333,7250783,4154310,5698602,3995426,5036642,5263369,5102253,4659700
9,7401102,4170901,5718217,3996484,5128924,5351517,5183794,4658270
9.166666667,7433125,4233708,5773990,4024163,5206721,5408347,5212183,4736081
9.333333333,7413738,4246926,5831740,4062009,5185054,5434729,5202261,4823240
9.5,7551782,4262384,5864308,4062453,5183505,5453035,5273982,4819283
9.666666667,7651415,4399272,5998308,4127348,5366921,5627563,5410852,4942018
9.833333333,7654695,4399272,5998308,4127348,5366921,5627563,5410852,4942018
10,7901803,4463480,6237560,4185621.75,5501665,5780813,5614623,5079737
10.16666667,8113892,4523871,6418765,4241596,5648071,5932092,5794003,5250744
10.33333333,8211708,4620342,6454748,4230387,5691433,6016006,5872563,5347289
10.5,8231210,4619809,6456859,4225905,5690506,6125484,5955754,5389261
10.66666667,8239919,4643060,6500145,4272343,5732525,6203043,5984530,5469717
10.83333333,8265716,4677130,6467199,4274386,5760735,6252806,5985138,5512333
11,8360914,4667201,6444964,4252105,5890764,6221003,6025886,5577597
11.16666667,8360914,4667201,6444964,4252105,5890764,6221003,6025886,5577597
11.33333333,8286259,4634594,6328630,4318682,5922256,6265630,6047419,5567844
11.5,8321622,4607705,6277217,4312704,5964996,6320986,6070926,5538228
11.66666667,8271863,4636499,6293503,4314781,5977896,6344841,6106342,5579664
11.83333333,8194565,4647612,6257653,4239815,5995386,6265900,6008113,5593980
12,8180910,4619175,6215400,4194250,5978064,6215681,6041880,5569632
12.16666667,8184895,4588900,6231067,4231501,5992341,6199165,6076669,5517668
12.33333333,8175435,4574315,6206687,4219300,5993942,6155190,6043539,5468949
12.5,8128084,4566002,6193025,4235974,6042039,6108562,6023352,5458081
12.66666667,8140483,4570470,6172179,4212909,6064298,6091822,6041830,5447845
12.83333333,8129157,4515650,6103082,4192742.75,6037227,6070959,6046033,5457274
13,8012910,4502597,6094544,4157739,6104657,6019624,6034497,5445349
13.16666667,7929553,4448484,6071408,4182186.75,6181492,5971080,6011452,5443907
13.33333333,7882975,4412758,6021666,4201267,6181734,5963563,6044183,5509026
13.5,7768628,4402750,6002492,4180691.25,6099286,5943228,6036771,5478602
13.66666667,7720085,4427553,5948174,4145237,6060022,5885947,6041254,5443158
13.83333333,7787501,4409911,5941486,4165119,6111010,5859969,6039699,5439175
14,7786167,4422446,5994978,4187220,6151263,5847293,6060576,5456965
14.16666667,7675959,4442944,6008695,4163777,6161690,5842494,6108961,5470938
14.33333333,7643617,4414051,5940252,4155192,6192009,5859153,6066810,5464250
14.5,7604956,4393113,5926313,4142248,6167282,5863257,6040833,5432463
14.66666667,7497282,4435065,5919229,4132023,6110723,5850763,6006213,5420392
14.83333333,7480509,4411420,5962505,4152163,6095174,5862866,5997034,5503067
15,7455141,4399505,5940751,4171522,6129937,5872072,6074375,5444924
15.16666667,7455141,4399505,5940751,4171522,6129937,5872072,6074375,5444924
15.33333333,7419198,4385983,5884585,4185707,6078331,5841948,6061796,5504516
15.5,7460407,4374274,5864602,4164802,6071251,5836055,6019199,5526821
15.66666667,7469072,4398436,5883218,4170621,6103975,5846266,5994422,5471414
15.83333333,7486627,4378986,5873285,4161016,6142624,5829405,6041382,5493374
16,7566802,4351964,5833178,4146034,6113876,5829265,6075340,5583346
16.16666667,7523596,4399558,5753071,4143029,6046697,5816054,5997983,5550560
16.33333333,7523596,4399558,5753071,4143029,6046697,5816054,5997983,5550560
16.5,7593055,4386033,5723238,4138274,6016065,5852188,6012543,5559690
16.66666667,7492884,4387990,5748019,4142859,6019329,5843092,6076787,5537033
16.83333333,7520779,4361597,5740947,4142283,6098655,5799357,6003795,5550076
17,7507551,4334584,5716800,4135508,6104184,5794035,5982246,5578058
17.16666667,7545686,4369325,5720074,4111596,6046947,5809716,6032189,5605052
17.33333333,7571265,4390321,5707070,4110911,6092889,5839543,5989883,5574012
17.5,7688130,4419319,5662019,4118540,6038372,5801687,5912373,5568987
17.66666667,7657082,4432333,5705768,4083152,6063186,5796105,5992671,5629892
17.83333333,7657082,4432333,5705768,4083152,6063186,5796105,5992671,5629892
18,7612381,4444484,5673847,4075219,6039603,5705607,5970687,5612817
18.16666667,7612760,4447392,5618332,4086603,5995449,5731641,5887756,5671268
18.33333333,7729199,4432642,5594347,4077812,6022218,5721578,5896609,5604947
18.5,7754517,4435478,5572034,4098029,6065618,5685785,5887069,5604346
18.66666667,7727927,4442749,5532959,4130919,5987071,5764258,5895092,5606314
18.83333333,7736728,4476105,5500972,4088978,6009266,5787342,5909037,5602070
19,7786912,4521884,5485260,4086275,6026481,5751293,5922247,5617757
19.16666667,7848545,4514781,5538213,4107713,5981247,5747175,5941533,5607020
19.33333333,7898314,4498911,5562003,4141014,5961579,5755352,5879099,5617251
19.5,7919125,4520373,5560461,4094417,5985599,5820693,5811368,5614975
19.66666667,7988470,4471009,5446094,4073074,5913140,5730160,5806741,5575599
19.83333333,7877076,4410852,5231906,4066533,5691325,5493443,5619787,5414564
20,7493510,4286558,4947730,3994860,5476542,5280578,5305348,5205757
20.16666667,7373315,4225582,4847703,3944194,5393240,5215707,5213870,5147451
20.33333333,7596045,4313841,4929821,3958647,5492829,5285907,5290597,5197549
20.5,8004016,4429466,5056123,4026149,5667020,5421558,5468754,5295497
20.66666667,8260356,4512081,5214408,4066858,5803581,5513181,5662106,5376389
20.83333333,8331705,4545495,5221509,4118114,5836315,5605396,5718640,5350456
21,8277559,4495297,5221449,4116374,5882783,5656723,5654684,5375044
21.16666667,8370867,4511407,5281510,4122062,5989146,5662226,5675603,5413762
21.33333333,8514262,4559289,5313616,4131788,6029757,5739755,5763962,5487828
21.5,8590152,4557824,5308740,4168908,6068374,5665322,5781363,5448152
21.66666667,8590152,4557824,5308740,4168908,6068374,5665322,5781363,5448152
21.83333333,8611312,4555937,5299198,4187395.75,6112636,5691744,5800242,5410850
22,8583127,4585938,5296641,4152275,6153599,5695387,5821176,5433757
22.16666667,8632742,4563450,5295535,4156218,6194117,5657310,5817631,5532783
22.33333333,8632742,4563450,5295535,4156218,6194117,5657310,5817631,5532783
22.5,8680988,4560406,5280475,4160904,6207717,5653134,5838162,5551140
22.66666667,8693639,4544591,5244109,4169593,6296652,5686419,5752277,5485068
22.83333333,8664797,4617987,5227955,4193207,6221118,5709252,5741473,5457054
23,8695909,4551712,5258275,4130450,6221609,5675475,5785523,5431428
23.16666667,8735107,4463567,5230414,4117688,6263943,5667286,5771417,5444310
23.33333333,8707098,4515679,5218153,4101346,6222572,5704175,5741988,5486240
23.5,8637079,4505953,5169349,4068771,6113926,5617907,5797674,5459455
23.66666667,8379303,4420118,5034248,4029754,5859888,5433584,5689689,5326672
23.83333333,8027027,4296540,4806597,3966540,5677780,5262530,5488487,5215792
24,7729800,4220018,4719648,3902787,5660982,5162570,5305098,5150416
24.16666667,7663895,4171296,4684400,3903462,5636972,5174810,5294810,5113003
24.33333333,7858285,4182107,4756152,3991453,5765079,5269684,5409317,5183616
24.5,8305323,4332364,4943520,4080098,6087267,5413042,5653498,5269384
24.66666667,8502928,4406139,5055355,4090094,6229675,5525366,5840507,5321871
24.83333333,8493972,4391508,5063969,4081185,6226022,5601925,5817228,5335932
25,8404405,4364554,5128572,4085672,6224019,5580213,5781278,5321506
25.16666667,8412778,4366018,5113990,4079496,6269573,5588501,5785565,5320080
25.33333333,8501447,4329666,5106062,4107739,6338055,5643829,5857146,5293828
25.5,8546131,4334978,5199733,4116348,6418345,5684089,5951224,5271962
25.66666667,8525252,4337431,5211756,4129014,6563695,5727381,5955060,5305475
25.83333333,8556324,4305857,5140316,4103143,6552503,5668678,5901485,5341335
26,8284829,4225807,4900536,4043136,6311347,5329893,5613099,5179054
26.16666667,8284829,4225807,4900536,4043136,6311347,5353710,5613099,5179054
26.33333333,8224368,4196363,4898771,4041196,6368342,5334543,5575494,5146336
26.5,8175353,4201219,4847143,4015611,6417542,5311371,5566734,5070810
26.66666667,8122417,4225265,4765623,3977526,6396563,5234612,5530054,5027747
26.83333333,7904102,4224643,4661737,3939707,6379839,5165616,5534697,5063683
27,7775426,4114910,4617589,3924176,6267308,5155910,5435570,5058065
27.16666667,7717051,4021804,4628560,3922264,6227888,5134435,5323238,5022860
27.33333333,7787546,4080706,4637891,3963427,6327314,5158367,5328568,5009368
27.5,7903094,4172390,4639537,3998473,6340653,5155895,5450608,5041022
27.66666667,7976234,4154672,4602007,4023430,6371624,5157693,5450390,5066974
27.83333333,8084763,4156453,4656840,4047353,6502478,5237951,5549869,5095940
28,8384478.5,4239473,4859841,4099509,6747198,5436594,5788182,5194572
28.16666667,8470994,4258000,4962961,4132872,6926743,5581555,5913575,5276249
28.33333333,8447921,4220011,4928081,4137457,6903238,5568568,5883547,5272658
28.5,8467918,4217230,4916035,4128172,6874627,5503223,5878369,5270650
28.66666667,8425285,4214352,4933392,4095985,6902003,5489243,5912261,5248072
28.83333333,8430401,4259825,4960137,4084283,6959260,5541543,5929355,5257215
29,8395019,4259035,4931818,4118302,6974241,5506059,5969719,5249148
29.16666667,8236185,4217070,4945291,4163441,6956400,5517806,5944742,5290143
29.33333333,7957134,4121124,4834411,4058892,6933748,5436092,5843671,5184769
29.5,7957134,4121124,4834411,4058892,6933748,5436092,5843671,5184769
29.66666667,7283263,3994218,4472869,3970752,6635045,5148471,5433277,5002114
29.83333333,6985009,3896372,4289474,3855146,6465754,4993888,5264987,4828368
30,6933021,3863915,4312704,3848781,6406037,5006752,5206929,4839300
30.16666667,6956452,3856692,4309212,3912433,6355798,4976200,5198771,4812277
30.33333333,6992604,3880574,4304882,3888829,6339503,5013758,5232548,4790593
30.5,6967310,3902090,4234277,3880393,6375326,4982841,5197983,4801187
30.66666667,6995836,3856935,4246175,3885683,6400639,4946468,5160975,4780923
30.83333333,6909615,3860306,4291576,3864339,6361749,4973736,5200566,4771415
31,6854236,3910669,4301257,3888072,6324718,4929248,5194244,4779638
31.16666667,6962209,3864565,4242629,3868353,6289978,4930739,5175899,4781197
31.33333333,6960298,3849639,4240908,3858414,6291705,4903297,5185284,4773865
31.5,6973243,3859370,4225344,3874969,6299560,4891595,5207019,4763848
31.66666667,7006560,3852716,4210655,3868450,6293097,4889705,5165553,4731102
31.83333333,6959879,3843135,4203055,3909244,6189577,4869430,5171031,4715627
32,6849969,3818065,4204541,3901014,6105042,4897502,5133500,4734043
32.16666667,7003368,3848948,4266285,3911723,6212773,4929272,5175645,4747792
32.33333333,7535180,4042184,4513229,4001231,6497822,5107833,5454403,4868465
32.5,7925730,4218399,4758412,4121505,6741583,5343175,5827185,5074448
32.66666667,7889491,4223875,4770317,4098027,6785401,5399283,5876670,5066958
32.83333333,7998075,4234182,4804110,4136111,6842630,5437545,5941027,5088314
33,8116938,4247444,4838452,4127699,6911337,5469319,5914852,5077757
33.16666667,8091953,4269845,4840083,4135272,6913246,5529520,5973416,5110545
33.33333333,8080031,4308494,4860660,4182855.25,6915728,5594410,5997191,5107132
33.5,8120645,4326044,4867107,4232481,6958381,5617807,6014031,5086212
33.66666667,8140470,4419845,4882503,4258771,7021322,5593059,6008886,5085182
33.83333333,8143280,4439986,4943406,4248762,6977152,5555228,5913047,5100047
34,8155104,4436394,4919502,4255343,6981284,5548820,5926570,5128671
34.16666667,8283322,4452946,4922540,4260904,7078971,5647446,6017870,5121467
34.33333333,8254053,4470307,4915781,4236172,7065362,5679587,6111448,5134420
34.5,8196206,4469765,4899098,4252529,7014877,5631738,6151106,5140377
34.66666667,8186535,4465263,4904825,4215265,7031895,5611346,6100310,5128660
34.83333333,8169675,4474284,4944840,4266589,7114723,5621585,6015555,5148681
35,8210192,4489293,4935533,4329010,7105546,5676108,6023310,5151711
35.16666667,8264951,4514710,4912413,4281690,7053772,5684167,6052784,5145146
35.33333333,8239198,4515165,4940386,4286865,7001199,5641192,6061408,5113623
35.5,8135253,4512974,4935532,4314399,7043886,5616283,6034895,5125977
35.66666667,8064389,4513123,4894147,4271573,7121018,5653430,6002473,5078609
35.83333333,8125110,4505002,4879946,4267683,7144009,5657170,6066487,5061683
36,8038806,4572686,4887965,4282976,7142151,5653187,6127611,5060546
36.16666667,7955092,4596694,4890741,4270361,7159336,5598157,6048953,5017520
36.33333333,7943042,4583389,4880091,4310042,7075469,5624087,6056423,5019673
36.5,7811171,4591444,4864347,4348958,7056996,5656415,6008937,5024975
36.66666667,7768021,4604000,4814268,4346349,6981425,5592106,6019985,5026224
36.83333333,7813552,4662494,4794107,4303645,6993938,5581170,5965839,4985142
37,7771273,4640160,4829064,4284131,7039153,5568262,5988101,4979279
37.16666667,7706040,4606307,4869494,4307209,6910849,5467907,5999992,4985414
37.33333333,7684683,4592487,4885398,4330318,6846816,5417781,6004736,4960357
37.5,7633826,4581971,4862266,4314269,6857376,5420443,6013719,4931548
37.66666667,7529033,4555441,4832545,4271553,6887504,5409334,5959301,4871844
37.83333333,7462950,4571138,4840358,4242334,6852647,5382356,5979932,4831183
38,7490899,4596274,4816797,4210501,6813672,5410038,6007155,4834849
38.16666667,7416708,4575033,4796079,4221711,6770163,5361963,5955172,4869766
38.33333333,7426654,4551643,4798052,4231318,6842666,5325741,6017848,4848718
38.5,7501638,4557061,4802192,4248489,6880741,5425705,6003561,4854682
38.66666667,7434831,4540661,4833694,4241817,6773563,5460209,5965332,4870142
38.83333333,7310933,4543455,4844538,4181777,6780585,5460950,6107177,4853702
39,7214988,4516076,4881065,4142679,6737395,5417823,6043193,4842757
39.16666667,7214988,4516076,4881065,4142679,6737395,5417823,6043193,4842757
39.33333333,7223490,4542789,4850254,4127570,6611616,5393216,6015988,4836180
39.5,7266353,4514732,4792088,4116599,6536704,5390551,6051497,4863257
39.66666667,7200224,4459232,4785446,4084510,6534760,5370069,6068594,4885381
39.83333333,7188568,4447446,4795421,4077762,6415330,5368740,6074975,4854585
40,7045221,4445007,4745892,4058693,6184477,5235189,5942024,4831187
40.16666667,6826953,4380326,4614749,4005230,5976187,5097682,5719572,4733942
40.33333333,6827567,4323390,4542449,4042027,5810681,5027609,5648019,4678764
40.5,6856403,4315609,4494960,4044456,5717979,5020625,5646754,4660448
40.66666667,6910461,4295906,4441894,3990776,5590559,5018714,5583805,4682770
40.83333333,6760493,4285922,4421830,3929159,5537358,4964333,5549728,4653156
41,6559131,4266659,4406511,3924681,5463706,4920793,5524400,4590973
41.16666667,6551696,4218480,4387476,3947052,5338029,4920573,5467425,4533722
41.33333333,6583421,4210191,4355840,3924630,5245975,4943205,5445757,4526958
41.5,6614385,4214741,4357622,3928780,5145399,4912600,5393549,4533516
41.66666667,6538778,4161736,4294509,3941966,5059709,4910874,5320553,4451850
41.83333333,6329105,4088401,4130540,3941823,4956679,4881282,5219282,4372973
42,6224974,4030413,4071372,3926042,4936999,4868346,5174094,4333514
42.16666667,6217787,3992355,4063213,3908417,4840847,4845381,5146335,4337879
42.33333333,6263834,3991222,4010677,3920629,4739129,4792459,5132722,4364301
42.5,6277484,3997868,3960605,3854467,4704702,4787499,5177665,4368276
42.66666667,6266195,3987020,4015233,3850688,4667044,4821894,5148729,4390786
42.83333333,6304528,3962355,4017247,3895847,4597756,4796479,5150465,4362934
43,6321000,4016120,4003634,3912428,4538862,4753958,5113465,4378510
43.16666667,6335826,4015648,3993404,3894328,4485718,4704221,5157475,4389053
43.33333333,6326132,4050813,3954425,3920201,4500965,4684081,5178149,4412197
43.5,6340940,4032822,3952107,3951139,4497645,4681670,5155242,4356754
43.66666667,6376399,4021162,3952182,3926938,4421372,4693284,5145608,4301840
43.83333333,6335423,4048742,3963724,3929247,4378355,4672844,5112521,4346073
44,6287477,4011297,3936497,3905358,4379801,4630748,5127943,4396743
44.16666667,6264362,4031272,3924920,3887050,4347514,4655033,5081338,4341095
44.33333333,6324439,4079993,3966981,3925421,4327070,4725614,5121864,4319313
44.5,6646179,4205623,4152408,3994884,4423324,4816705,5442394,4436991
44.66666667,7243325,4431989,4514365,4115185,4619963,5045216,5974537,4660030
44.83333333,7379547,4472046,4500408,4144873,4622634,5118251,5981084,4701851
45,7457849,4478259,4533930,4150996,4644123,5195515,6001759,4667400
45.16666667,7543469,4531750,4578721,4122468,4654542,5206181,6097733,4686767
45.33333333,7672587,4548361,4594045,4145635,4688942,5263044,6095939,4699948
45.5,7700253,4516715,4617730,4151458,4824593,5294956,6067162,4682555
45.66666667,7702086,4509333,4588176,4158195,4872099,5275268,6116139,4651420
45.83333333,7675339,4569792,4567277,4198732,4862568,5230381,6101735,4678502
46,7723892,4566207,4592879,4191315,4873169,5256092,6075487,4702191
46.16666667,7741564,4555377,4608297,4155282,4877738,5234830,6118853,4704247
46.33333333,7773134,4592369,4645769,4191269.25,4964231,5243237,6146008,4693330
46.5,7775097,4598853,4647825,4184888.25,5046282,5280320,6142360,4713556
46.66666667,7776645,4566688,4661158,4195097,5044237,5262559,6144870,4754924
46.83333333,7726067,4491397,4636446,4207798,5108768,5320740,6213614,4758750
47,7740892,4434871,4642530,4233595,5174274,5329013,6229626,4762539
47.16666667,7751455,4443271,4672016,4238057,5202658,5307883,6213952,4764822
47.33333333,7759699,4435231,4653288,4184992.75,5298129,5257572,6153615,4786336
47.5,7826211,4440132,4631171,4224605,5334958,5262036,6086952,4773015
47.66666667,7915475,4376057,4691769,4258860,5306655,5234242,6101226,4777181
47.83333333,7920589,4408058,4670439,4232005,5351436,5241299,6069341,4805459
48,7918559,4417356,4650076,4214152,5413905,5212900,6069801,4808782
48.16666667,7866243,4397148,4592440,4244095,5429652,5171329,6126207,4794255
48.33333333,7728301,4341893,4568360,4280250,5429080,5137509,6069427,4785368
48.5,7680895,4317820,4565848,4219436,5479513,5139976,6048363,4805432
48.66666667,7707784,4335222,4544651,4171513,5533599,5133594,6106879,4825517
48.83333333,7670242,4400041,4565692,4159908,5486465,5128032,5967802,4819907
49,7620921,4341106,4612048,4174544,5470113,5082518,5928104,4741131
49.16666667,7624138,4294548,4557102,4224361,5461566,5005231,5972063,4739565
49.33333333,7582325,4299153,4548854,4257409,5425660,4968428,5940318,4770761
